epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.6504074335098267,,
0,,,19,,,,0.6180716156959534,,
,,,0,,,,,,0.5909720659255981
,,,1,,,,,,0.594452977180481
,,,2,,,,,,0.5652922987937927
,,,3,,,,,,0.48012199997901917
,,,4,,,,,,0.4992283284664154
,,,5,,,,,,0.6134283542633057
,,,6,,,,,,0.6756313443183899
,,,7,,,,,,0.6749733686447144
,,,8,,,,,,0.7260215878486633
,,,9,,,,,,0.796684980392456
,,,10,,,,,,0.8425228595733643
0,0.6604910492897034,0.7324545383453369,21,,,,,0.6334415674209595,
0,,,21,,,0.6712168455123901,,,
1,,,29,,,,0.5715782642364502,,
1,,,39,,,,0.577038049697876,,
,,,11,,,,,,0.5950441360473633
,,,12,,,,,,0.60650235414505
,,,13,,,,,,0.5417275428771973
,,,14,,,,,,0.4096652865409851
,,,15,,,,,,0.4911499619483948
,,,16,,,,,,0.5234504342079163
,,,17,,,,,,0.5895576477050781
,,,18,,,,,,0.5886154770851135
,,,19,,,,,,0.6790542602539062
,,,20,,,,,,0.8128549456596375
,,,21,,,,,,0.8996230363845825
1,0.7079598307609558,0.7404839992523193,43,,,,,0.6005831360816956,
1,,,43,,,0.5975558757781982,,,
2,,,49,,,,0.5625265836715698,,
2,,,59,,,,0.5036056041717529,,
,,,22,,,,,,0.6251492500305176
,,,23,,,,,,0.6035666465759277
,,,24,,,,,,0.5333724021911621
,,,25,,,,,,0.4055870771408081
,,,26,,,,,,0.49669283628463745
,,,27,,,,,,0.44029033184051514
,,,28,,,,,,0.5033820271492004
,,,29,,,,,,0.48945099115371704
,,,30,,,,,,0.5802842378616333
,,,31,,,,,,0.7649943232536316
,,,32,,,,,,0.8918373584747314
2,0.7561670541763306,0.7618436217308044,65,,,,,0.5627861022949219,
2,,,65,,,0.5446431040763855,,,
3,,,69,,,,0.510154664516449,,
3,,,79,,,,0.5042105317115784,,
,,,33,,,,,,0.6232284307479858
,,,34,,,,,,0.5428059101104736
,,,35,,,,,,0.479592889547348
,,,36,,,,,,0.38615432381629944
,,,37,,,,,,0.4750712811946869
,,,38,,,,,,0.4300507605075836
,,,39,,,,,,0.4963085949420929
,,,40,,,,,,0.4435635805130005
,,,41,,,,,,0.560702919960022
,,,42,,,,,,0.7402777671813965
,,,43,,,,,,0.848388135433197
3,0.7923104166984558,0.7955927848815918,87,,,,,0.5353822112083435,
3,,,87,,,0.50152987241745,,,
4,,,89,,,,0.4252181351184845,,
4,,,99,,,,0.46401703357696533,,
4,,,109,,,,0.47865739464759827,,
,,,44,,,,,,0.5409070253372192
,,,45,,,,,,0.5378313064575195
,,,46,,,,,,0.46124064922332764
,,,47,,,,,,0.3803410828113556
,,,48,,,,,,0.49493953585624695
,,,49,,,,,,0.4372677206993103
,,,50,,,,,,0.45658960938453674
,,,51,,,,,,0.44325363636016846
,,,52,,,,,,0.5646125674247742
,,,53,,,,,,0.6995432376861572
,,,54,,,,,,0.775089681148529
4,0.7982443571090698,0.801570475101471,109,,,,,0.5162143707275391,
4,,,109,,,0.47156402468681335,,,
5,,,119,,,,0.4365514814853668,,
5,,,129,,,,0.4594153165817261,,
,,,55,,,,,,0.5199774503707886
,,,56,,,,,,0.5173805952072144
,,,57,,,,,,0.45345962047576904
,,,58,,,,,,0.3315964937210083
,,,59,,,,,,0.43790918588638306
,,,60,,,,,,0.4192618131637573
,,,61,,,,,,0.4478968679904938
,,,62,,,,,,0.44860976934432983
,,,63,,,,,,0.527858316898346
,,,64,,,,,,0.7594482898712158
,,,65,,,,,,0.7871919274330139
5,0.8130186200141907,0.8168891668319702,131,,,,,0.502361536026001,
5,,,131,,,0.44158053398132324,,,
6,,,139,,,,0.43190884590148926,,
6,,,149,,,,0.4220622479915619,,
,,,66,,,,,,0.5496030449867249
,,,67,,,,,,0.5250138640403748
,,,68,,,,,,0.4802743196487427
,,,69,,,,,,0.36515557765960693
,,,70,,,,,,0.49193137884140015
,,,71,,,,,,0.4127601385116577
,,,72,,,,,,0.41112518310546875
,,,73,,,,,,0.42117732763290405
,,,74,,,,,,0.566326916217804
,,,75,,,,,,0.7646268010139465
,,,76,,,,,,0.7536235451698303
6,0.7987037897109985,0.799207329750061,153,,,,,0.5123699903488159,
6,,,153,,,0.4223687946796417,,,
7,,,159,,,,0.4707798957824707,,
7,,,169,,,,0.3891468048095703,,
,,,77,,,,,,0.5879433155059814
,,,78,,,,,,0.5350669026374817
,,,79,,,,,,0.4706254005432129
,,,80,,,,,,0.39061737060546875
,,,81,,,,,,0.5217149257659912
,,,82,,,,,,0.39424967765808105
,,,83,,,,,,0.3846532106399536
,,,84,,,,,,0.3656669557094574
,,,85,,,,,,0.4842055141925812
,,,86,,,,,,0.6241002082824707
,,,87,,,,,,0.6484110355377197
7,0.8254055976867676,0.8259596824645996,175,,,,,0.48507216572761536,
7,,,175,,,0.42165398597717285,,,
8,,,179,,,,0.4319717586040497,,
8,,,189,,,,0.4119735360145569,,
,,,88,,,,,,0.6439813375473022
,,,89,,,,,,0.5849614143371582
,,,90,,,,,,0.5035419464111328
,,,91,,,,,,0.40631186962127686
,,,92,,,,,,0.5996637344360352
,,,93,,,,,,0.4018673896789551
,,,94,,,,,,0.34689438343048096
,,,95,,,,,,0.3657184839248657
,,,96,,,,,,0.4238739609718323
,,,97,,,,,,0.521915853023529
,,,98,,,,,,0.5576055645942688
8,0.8308264017105103,0.8364227414131165,197,,,,,0.484012633562088,
8,,,197,,,0.3998567759990692,,,
9,,,199,,,,0.41021889448165894,,
9,,,209,,,,0.42005425691604614,,
9,,,219,,,,0.7077814936637878,,
,,,99,,,,,,0.5245856642723083
,,,100,,,,,,0.4526897966861725
,,,101,,,,,,0.43269675970077515
,,,102,,,,,,0.37361210584640503
,,,103,,,,,,0.48380181193351746
,,,104,,,,,,0.38112807273864746
,,,105,,,,,,0.38766372203826904
,,,106,,,,,,0.3986970782279968
,,,107,,,,,,0.5058066844940186
,,,108,,,,,,0.7158585786819458
,,,109,,,,,,0.6934356689453125
9,0.8311111330986023,0.832828938961029,219,,,,,0.4777844250202179,
9,,,219,,,0.4064222276210785,,,
10,,,229,,,,0.5154897570610046,,
10,,,239,,,,0.4368862509727478,,
,,,110,,,,,,0.5679267644882202
,,,111,,,,,,0.5567432641983032
,,,112,,,,,,0.5348129868507385
,,,113,,,,,,0.4126276969909668
,,,114,,,,,,0.5428750514984131
,,,115,,,,,,0.36886507272720337
,,,116,,,,,,0.35805219411849976
,,,117,,,,,,0.3720974326133728
,,,118,,,,,,0.4267919659614563
,,,119,,,,,,0.5160247087478638
,,,120,,,,,,0.5140725374221802
10,0.8514416217803955,0.8591252565383911,241,,,,,0.46825873851776123,
10,,,241,,,0.3962022662162781,,,
11,,,249,,,,0.36144545674324036,,
11,,,259,,,,0.4239523112773895,,
,,,121,,,,,,0.5865710377693176
,,,122,,,,,,0.5860503911972046
,,,123,,,,,,0.5059979557991028
,,,124,,,,,,0.3655341863632202
,,,125,,,,,,0.5839688777923584
,,,126,,,,,,0.3828750252723694
,,,127,,,,,,0.3540780246257782
,,,128,,,,,,0.3585449457168579
,,,129,,,,,,0.49361199140548706
,,,130,,,,,,0.5735429525375366
,,,131,,,,,,0.6037856936454773
11,0.8311821222305298,0.8332512378692627,263,,,,,0.48571881651878357,
11,,,263,,,0.398461252450943,,,
12,,,269,,,,0.4189807176589966,,
12,,,279,,,,0.32660481333732605,,
,,,132,,,,,,0.5021570920944214
,,,133,,,,,,0.5193132758140564
,,,134,,,,,,0.4662146270275116
,,,135,,,,,,0.35825085639953613
,,,136,,,,,,0.4738261103630066
,,,137,,,,,,0.34959590435028076
,,,138,,,,,,0.368182897567749
,,,139,,,,,,0.38332122564315796
,,,140,,,,,,0.4415319859981537
,,,141,,,,,,0.6017954349517822
,,,142,,,,,,0.6242001056671143
12,0.8668627142906189,0.8669503331184387,285,,,,,0.455886572599411,
12,,,285,,,0.39549902081489563,,,
13,,,289,,,,0.3307952880859375,,
13,,,299,,,,0.369498074054718,,
,,,143,,,,,,0.6088063716888428
,,,144,,,,,,0.5706955790519714
,,,145,,,,,,0.5034644603729248
,,,146,,,,,,0.38512349128723145
,,,147,,,,,,0.5039818286895752
,,,148,,,,,,0.37230658531188965
,,,149,,,,,,0.3427267074584961
,,,150,,,,,,0.35524898767471313
,,,151,,,,,,0.43243831396102905
,,,152,,,,,,0.5536916255950928
,,,153,,,,,,0.5311582088470459
13,0.8488888740539551,0.8517715334892273,307,,,,,0.4664861857891083,
13,,,307,,,0.38834455609321594,,,
14,,,309,,,,0.3528512716293335,,
14,,,319,,,,0.40715324878692627,,
14,,,329,,,,0.3147144019603729,,
,,,154,,,,,,0.5467662811279297
,,,155,,,,,,0.4650808572769165
,,,156,,,,,,0.42875775694847107
,,,157,,,,,,0.4340496063232422
,,,158,,,,,,0.42970696091651917
,,,159,,,,,,0.3808124363422394
,,,160,,,,,,0.37122824788093567
,,,161,,,,,,0.40255293250083923
,,,162,,,,,,0.4547261595726013
,,,163,,,,,,0.6388208866119385
,,,164,,,,,,0.6170313358306885
14,0.843127965927124,0.8435232043266296,329,,,,,0.4638657867908478,
14,,,329,,,0.40284717082977295,,,
15,,,339,,,,0.506218671798706,,
15,,,349,,,,0.3274553120136261,,
,,,165,,,,,,0.4815322756767273
,,,166,,,,,,0.47716468572616577
,,,167,,,,,,0.43172091245651245
,,,168,,,,,,0.3625049293041229
,,,169,,,,,,0.5000938177108765
,,,170,,,,,,0.38863614201545715
,,,171,,,,,,0.3436913788318634
,,,172,,,,,,0.3761013150215149
,,,173,,,,,,0.4990018308162689
,,,174,,,,,,0.6241909265518188
,,,175,,,,,,0.5847702026367188
15,0.8579831719398499,0.8579831719398499,351,,,,,0.4557226896286011,
15,,,351,,,0.3815189599990845,,,
16,,,359,,,,0.3340347707271576,,
16,,,369,,,,0.3802138864994049,,
,,,176,,,,,,0.5746089220046997
,,,177,,,,,,0.5053468346595764
,,,178,,,,,,0.48817044496536255
,,,179,,,,,,0.3948243260383606
,,,180,,,,,,0.42636191844940186
,,,181,,,,,,0.3573954403400421
,,,182,,,,,,0.3494511544704437
,,,183,,,,,,0.3822828233242035
,,,184,,,,,,0.4008091688156128
,,,185,,,,,,0.5031630396842957
,,,186,,,,,,0.46670469641685486
16,0.8785696029663086,0.8808283805847168,373,,,,,0.4397571384906769,
16,,,373,,,0.38220688700675964,,,
17,,,379,,,,0.38244402408599854,,
17,,,389,,,,0.411909282207489,,
,,,187,,,,,,0.5029571652412415
,,,188,,,,,,0.48666927218437195
,,,189,,,,,,0.43577826023101807
,,,190,,,,,,0.3785453140735626
,,,191,,,,,,0.46424591541290283
,,,192,,,,,,0.40052899718284607
,,,193,,,,,,0.35779237747192383
,,,194,,,,,,0.3507152497768402
,,,195,,,,,,0.4572955071926117
,,,196,,,,,,0.7138217687606812
,,,197,,,,,,0.7335912585258484
17,0.8520503044128418,0.8521294593811035,395,,,,,0.46967992186546326,
17,,,395,,,0.3855425715446472,,,
18,,,399,,,,0.371368408203125,,
18,,,409,,,,0.36819082498550415,,
,,,198,,,,,,0.5363895893096924
,,,199,,,,,,0.4794451594352722
,,,200,,,,,,0.44786176085472107
,,,201,,,,,,0.35207223892211914
,,,202,,,,,,0.42127108573913574
,,,203,,,,,,0.3733333945274353
,,,204,,,,,,0.3661015033721924
,,,205,,,,,,0.3728095293045044
,,,206,,,,,,0.42833247780799866
,,,207,,,,,,0.7007187604904175
,,,208,,,,,,0.7117469906806946
18,0.8460190892219543,0.8469803333282471,417,,,,,0.4618881642818451,
18,,,417,,,0.3890945315361023,,,
19,,,419,,,,0.3582227826118469,,
19,,,429,,,,0.3873997926712036,,
19,,,439,,,,0.3160207271575928,,
,,,209,,,,,,0.481219619512558
,,,210,,,,,,0.485221266746521
,,,211,,,,,,0.4385526776313782
,,,212,,,,,,0.3691185712814331
,,,213,,,,,,0.4895784258842468
,,,214,,,,,,0.3563462793827057
,,,215,,,,,,0.324569433927536
,,,216,,,,,,0.3638978600502014
,,,217,,,,,,0.43398359417915344
,,,218,,,,,,0.650479257106781
,,,219,,,,,,0.5877077579498291
19,0.8668627142906189,0.8668639063835144,439,,,,,0.447200208902359,
19,,,439,,,0.36957189440727234,,,
,,,0,,0.481219619512558,,,,
,,,1,,0.485221266746521,,,,
,,,2,,0.4385526776313782,,,,
,,,3,,0.3691185712814331,,,,
,,,4,,0.4895784258842468,,,,
,,,5,,0.3563462793827057,,,,
,,,6,,0.324569433927536,,,,
,,,7,,0.3638978600502014,,,,
,,,8,,0.43398359417915344,,,,
,,,9,,0.650479257106781,,,,
,,,10,,0.5877077579498291,,,,
20,,,440,0.447200208902359,,,,,
