epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,1.0118649005889893,,
0,,,19,,,,0.9488360285758972,,
,,,0,,,,,,0.8466169834136963
,,,1,,,,,,0.7932510375976562
,,,2,,,,,,0.6374653577804565
,,,3,,,,,,0.6561660766601562
,,,4,,,,,,0.6439759135246277
,,,5,,,,,,0.9116895794868469
,,,6,,,,,,0.9538739919662476
,,,7,,,,,,1.0088515281677246
,,,8,,,,,,1.0474388599395752
,,,9,,,,,,1.0749855041503906
,,,10,,,,,,1.112351894378662
,,,11,,,,,,1.099186897277832
,,,12,,,,,,1.0995957851409912
,,,13,,,,,,1.1001836061477661
0,0.35518839955329895,0.310050904750824,27,,,,,0.9252017140388489,
0,,,27,,,0.9946852922439575,,,
1,,,29,,,,0.9343462586402893,,
1,,,39,,,,0.8609312176704407,,
1,,,49,,,,0.916405439376831,,
,,,14,,,,,,0.9071943759918213
,,,15,,,,,,0.8489919900894165
,,,16,,,,,,0.6664870977401733
,,,17,,,,,,0.6955568194389343
,,,18,,,,,,0.654534101486206
,,,19,,,,,,0.7845954895019531
,,,20,,,,,,0.750554084777832
,,,21,,,,,,0.817567765712738
,,,22,,,,,,0.8662724494934082
,,,23,,,,,,0.9338240623474121
,,,24,,,,,,1.014746904373169
,,,25,,,,,,1.0453389883041382
,,,26,,,,,,1.0457794666290283
,,,27,,,,,,1.0461057424545288
1,0.8547763228416443,0.8564616441726685,55,,,,,0.8601921200752258,
1,,,55,,,0.8998053073883057,,,
2,,,59,,,,0.8918555378913879,,
2,,,69,,,,0.8103922605514526,,
2,,,79,,,,0.7995572686195374,,
,,,28,,,,,,0.8534291982650757
,,,29,,,,,,0.7915051579475403
,,,30,,,,,,0.6683889031410217
,,,31,,,,,,0.6882896423339844
,,,32,,,,,,0.5959339737892151
,,,33,,,,,,0.6631447672843933
,,,34,,,,,,0.6304419040679932
,,,35,,,,,,0.7018911242485046
,,,36,,,,,,0.7093034982681274
,,,37,,,,,,0.7451204061508179
,,,38,,,,,,0.8327256441116333
,,,39,,,,,,0.9654651284217834
,,,40,,,,,,0.9658455848693848
,,,41,,,,,,0.9663816690444946
2,0.9096037149429321,0.9107816219329834,83,,,,,0.7671797275543213,
2,,,83,,,0.8042512536048889,,,
3,,,89,,,,0.7165919542312622,,
3,,,99,,,,0.6970456838607788,,
3,,,109,,,,0.7025008797645569,,
,,,42,,,,,,0.7577623724937439
,,,43,,,,,,0.7150703072547913
,,,44,,,,,,0.6193857192993164
,,,45,,,,,,0.6316261291503906
,,,46,,,,,,0.608828067779541
,,,47,,,,,,0.6338002681732178
,,,48,,,,,,0.606870174407959
,,,49,,,,,,0.6450453996658325
,,,50,,,,,,0.6502885818481445
,,,51,,,,,,0.7406032681465149
,,,52,,,,,,0.8262771368026733
,,,53,,,,,,0.8141120076179504
,,,54,,,,,,0.814311146736145
,,,55,,,,,,0.8151204586029053
3,0.9391730427742004,0.9393477439880371,111,,,,,0.7041640877723694,
3,,,111,,,0.7314936518669128,,,
4,,,119,,,,0.684201717376709,,
4,,,129,,,,0.6499966979026794,,
4,,,139,,,,0.6981832981109619,,
,,,56,,,,,,0.796805202960968
,,,57,,,,,,0.6978110671043396
,,,58,,,,,,0.6204313635826111
,,,59,,,,,,0.6979060769081116
,,,60,,,,,,0.6208189129829407
,,,61,,,,,,0.6918732523918152
,,,62,,,,,,0.6581577062606812
,,,63,,,,,,0.6775994300842285
,,,64,,,,,,0.6929513812065125
,,,65,,,,,,0.7298809289932251
,,,66,,,,,,0.7382791042327881
,,,67,,,,,,0.6290005445480347
,,,68,,,,,,0.6290624141693115
,,,69,,,,,,0.6295589804649353
4,0.9058008790016174,0.9060460329055786,139,,,,,0.6799705624580383,
4,,,139,,,0.6712508797645569,,,
5,,,149,,,,0.6076910495758057,,
5,,,159,,,,0.5906797051429749,,
,,,70,,,,,,0.7926176190376282
,,,71,,,,,,0.7228876352310181
,,,72,,,,,,0.5827324390411377
,,,73,,,,,,0.6629852056503296
,,,74,,,,,,0.5927965044975281
,,,75,,,,,,0.617371141910553
,,,76,,,,,,0.5881574153900146
,,,77,,,,,,0.627020537853241
,,,78,,,,,,0.6377071142196655
,,,79,,,,,,0.7311340570449829
,,,80,,,,,,0.6779587268829346
,,,81,,,,,,0.572394609451294
,,,82,,,,,,0.572429358959198
,,,83,,,,,,0.572638750076294
5,0.9372006058692932,0.937471866607666,167,,,,,0.640250563621521,
5,,,167,,,0.6165629625320435,,,
6,,,169,,,,0.58579421043396,,
6,,,179,,,,0.5673418045043945,,
6,,,189,,,,0.5980926752090454,,
,,,84,,,,,,0.71312415599823
,,,85,,,,,,0.628490149974823
,,,86,,,,,,0.5728762149810791
,,,87,,,,,,0.7024897336959839
,,,88,,,,,,0.6212116479873657
,,,89,,,,,,0.6366384029388428
,,,90,,,,,,0.622123658657074
,,,91,,,,,,0.6049156785011292
,,,92,,,,,,0.702103853225708
,,,93,,,,,,0.7643789052963257
,,,94,,,,,,0.7680939435958862
,,,95,,,,,,0.5616768002510071
,,,96,,,,,,0.5616887807846069
,,,97,,,,,,0.5618294477462769
6,0.9274453520774841,0.9279841184616089,195,,,,,0.6455239057540894,
6,,,195,,,0.5925373435020447,,,
7,,,199,,,,0.575230062007904,,
7,,,209,,,,0.5575177669525146,,
7,,,219,,,,0.5729722380638123,,
,,,98,,,,,,0.6572884917259216
,,,99,,,,,,0.6614063382148743
,,,100,,,,,,0.5636324286460876
,,,101,,,,,,0.6544970870018005
,,,102,,,,,,0.5803452134132385
,,,103,,,,,,0.6091381311416626
,,,104,,,,,,0.574834942817688
,,,105,,,,,,0.6214054226875305
,,,106,,,,,,0.6160268187522888
,,,107,,,,,,0.6938013434410095
,,,108,,,,,,0.674555778503418
,,,109,,,,,,0.5576183795928955
,,,110,,,,,,0.5576308369636536
,,,111,,,,,,0.5577517151832581
7,0.9548922181129456,0.9548726677894592,223,,,,,0.6136003732681274,
7,,,223,,,0.5973502397537231,,,
8,,,229,,,,0.5768870115280151,,
8,,,239,,,,0.5898047089576721,,
8,,,249,,,,0.5915078520774841,,
,,,112,,,,,,0.7258433103561401
,,,113,,,,,,0.6551721096038818
,,,114,,,,,,0.6395469307899475
,,,115,,,,,,0.7380311489105225
,,,116,,,,,,0.6604121327400208
,,,117,,,,,,0.621805727481842
,,,118,,,,,,0.5840052962303162
,,,119,,,,,,0.6349444389343262
,,,120,,,,,,0.6476925611495972
,,,121,,,,,,0.7410321235656738
,,,122,,,,,,0.7371034622192383
,,,123,,,,,,0.5555508136749268
,,,124,,,,,,0.5555481314659119
,,,125,,,,,,0.5556475520133972
8,0.917601466178894,0.917691171169281,251,,,,,0.6478299498558044,
8,,,251,,,0.594216525554657,,,
9,,,259,,,,0.560371994972229,,
9,,,269,,,,0.5892205834388733,,
9,,,279,,,,0.5926589965820312,,
,,,126,,,,,,0.6863415241241455
,,,127,,,,,,0.6603198647499084
,,,128,,,,,,0.6310386061668396
,,,129,,,,,,0.6911556124687195
,,,130,,,,,,0.6215031147003174
,,,131,,,,,,0.6203336715698242
,,,132,,,,,,0.5766328573226929
,,,133,,,,,,0.5971275568008423
,,,134,,,,,,0.6008071899414062
,,,135,,,,,,0.6663299798965454
,,,136,,,,,,0.653276264667511
,,,137,,,,,,0.5541857481002808
,,,138,,,,,,0.5541824102401733
,,,139,,,,,,0.554257333278656
9,0.9469813108444214,0.947685182094574,279,,,,,0.6199868321418762,
9,,,279,,,0.581291139125824,,,
10,,,289,,,,0.5620266795158386,,
10,,,299,,,,0.5634438395500183,,
,,,140,,,,,,0.6728233695030212
,,,141,,,,,,0.632240891456604
,,,142,,,,,,0.6119080781936646
,,,143,,,,,,0.7067354321479797
,,,144,,,,,,0.6162863373756409
,,,145,,,,,,0.6048141717910767
,,,146,,,,,,0.5572270750999451
,,,147,,,,,,0.6177108883857727
,,,148,,,,,,0.6385107040405273
,,,149,,,,,,0.6842485070228577
