epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,1.0843199491500854,,
0,,,19,,,,0.9201144576072693,,
,,,0,,,,,,0.8698931336402893
,,,1,,,,,,0.9034019708633423
,,,2,,,,,,0.7735358476638794
,,,3,,,,,,0.6633942723274231
,,,4,,,,,,0.6677881479263306
,,,5,,,,,,0.958370566368103
,,,6,,,,,,0.9843054413795471
,,,7,,,,,,1.0402226448059082
,,,8,,,,,,1.045134425163269
,,,9,,,,,,0.9815294742584229
,,,10,,,,,,1.0244343280792236
,,,11,,,,,,1.0691698789596558
,,,12,,,,,,1.0704848766326904
,,,13,,,,,,1.0702935457229614
0,0.7540175914764404,0.7892035841941833,27,,,,,0.9351715445518494,
0,,,27,,,0.9848707914352417,,,
1,,,29,,,,0.8963873386383057,,
1,,,39,,,,0.8998050093650818,,
1,,,49,,,,0.8632649183273315,,
,,,14,,,,,,0.8514925837516785
,,,15,,,,,,0.8443683385848999
,,,16,,,,,,0.736051619052887
,,,17,,,,,,0.6394867897033691
,,,18,,,,,,0.6052711606025696
,,,19,,,,,,0.8552608489990234
,,,20,,,,,,0.8932300806045532
,,,21,,,,,,0.919474720954895
,,,22,,,,,,0.9927451014518738
,,,23,,,,,,0.9230214357376099
,,,24,,,,,,0.9568029046058655
,,,25,,,,,,0.9997155070304871
,,,26,,,,,,1.0008447170257568
,,,27,,,,,,1.0008134841918945
1,0.8235278129577637,0.833048403263092,55,,,,,0.8707229495048523,
1,,,55,,,0.87453293800354,,,
2,,,59,,,,0.8369175791740417,,
2,,,69,,,,0.8140977621078491,,
2,,,79,,,,0.7092069387435913,,
,,,28,,,,,,0.9702649116516113
,,,29,,,,,,0.9060133695602417
,,,30,,,,,,0.7937376499176025
,,,31,,,,,,0.6818227767944336
,,,32,,,,,,0.6301677227020264
,,,33,,,,,,0.6992250680923462
,,,34,,,,,,0.7030685544013977
,,,35,,,,,,0.7520206570625305
,,,36,,,,,,0.8383738994598389
,,,37,,,,,,0.6408382654190063
,,,38,,,,,,0.8141448497772217
,,,39,,,,,,0.8883601427078247
,,,40,,,,,,0.8895264267921448
,,,41,,,,,,0.8894593715667725
2,0.8773279786109924,0.8815670013427734,83,,,,,0.7911077737808228,
2,,,83,,,0.783696174621582,,,
3,,,89,,,,0.7929713726043701,,
3,,,99,,,,0.6785702109336853,,
3,,,109,,,,0.7285894155502319,,
,,,42,,,,,,0.7940337657928467
,,,43,,,,,,0.7697138786315918
,,,44,,,,,,0.6786207556724548
,,,45,,,,,,0.6461315155029297
,,,46,,,,,,0.6267449855804443
,,,47,,,,,,0.6605656743049622
,,,48,,,,,,0.7011600136756897
,,,49,,,,,,0.7219700813293457
,,,50,,,,,,0.8502964973449707
,,,51,,,,,,0.6543807983398438
,,,52,,,,,,0.7108389735221863
,,,53,,,,,,0.7336621284484863
,,,54,,,,,,0.7348106503486633
,,,55,,,,,,0.7347556948661804
3,0.9089027047157288,0.9087498784065247,111,,,,,0.7152440547943115,
3,,,111,,,0.7088108658790588,,,
4,,,119,,,,0.639325737953186,,
4,,,129,,,,0.7088342905044556,,
4,,,139,,,,0.5907787680625916,,
,,,56,,,,,,0.7167736887931824
,,,57,,,,,,0.6384767293930054
,,,58,,,,,,0.5982905030250549
,,,59,,,,,,0.6090328693389893
,,,60,,,,,,0.5942473411560059
,,,61,,,,,,0.6809234619140625
,,,62,,,,,,0.6986628174781799
,,,63,,,,,,0.6839902997016907
,,,64,,,,,,0.8812261819839478
,,,65,,,,,,0.730114221572876
,,,66,,,,,,0.6368607878684998
,,,67,,,,,,0.6168991327285767
,,,68,,,,,,0.6177529692649841
,,,69,,,,,,0.617698609828949
4,0.9272700548171997,0.9285153746604919,139,,,,,0.6665454506874084,
4,,,139,,,0.6510505676269531,,,
5,,,149,,,,0.6041771769523621,,
5,,,159,,,,0.640540361404419,,
,,,70,,,,,,0.6593566536903381
,,,71,,,,,,0.6231793761253357
,,,72,,,,,,0.6152576804161072
,,,73,,,,,,0.6159735321998596
,,,74,,,,,,0.5867483615875244
,,,75,,,,,,0.6975362300872803
,,,76,,,,,,0.6809244751930237
,,,77,,,,,,0.6941640973091125
,,,78,,,,,,0.8813332319259644
,,,79,,,,,,0.7581272721290588
,,,80,,,,,,0.6220393180847168
,,,81,,,,,,0.5743862390518188
,,,82,,,,,,0.5747684240341187
,,,83,,,,,,0.5747572779655457
5,0.9191651940345764,0.9229629635810852,167,,,,,0.6554429531097412,
5,,,167,,,0.6088804602622986,,,
6,,,169,,,,0.6168026924133301,,
6,,,179,,,,0.5660262703895569,,
6,,,189,,,,0.579305112361908,,
,,,84,,,,,,0.7024451494216919
,,,85,,,,,,0.7242251038551331
,,,86,,,,,,0.6085130572319031
,,,87,,,,,,0.6116343140602112
,,,88,,,,,,0.6008648872375488
,,,89,,,,,,0.6740753650665283
,,,90,,,,,,0.6820819973945618
,,,91,,,,,,0.6922791004180908
,,,92,,,,,,0.813630998134613
,,,93,,,,,,0.6461663246154785
,,,94,,,,,,0.6068158149719238
,,,95,,,,,,0.5624397993087769
,,,96,,,,,,0.5626996159553528
,,,97,,,,,,0.5626887679100037
6,0.9191651940345764,0.91960608959198,195,,,,,0.6477984189987183,
6,,,195,,,0.5935744643211365,,,
7,,,199,,,,0.587544858455658,,
7,,,209,,,,0.5905469655990601,,
7,,,219,,,,0.5844623446464539,,
,,,98,,,,,,0.7734689712524414
,,,99,,,,,,0.7342684864997864
,,,100,,,,,,0.670659601688385
,,,101,,,,,,0.6398918628692627
,,,102,,,,,,0.5824426412582397
,,,103,,,,,,0.6499558687210083
,,,104,,,,,,0.6175892949104309
,,,105,,,,,,0.6621297001838684
,,,106,,,,,,0.8453119993209839
,,,107,,,,,,0.6837531924247742
,,,108,,,,,,0.5983454585075378
,,,109,,,,,,0.557356595993042
