epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,1.0346189737319946,,
0,,,19,,,,0.9660035371780396,,
,,,0,,,,,,0.956672191619873
,,,1,,,,,,0.9757053852081299
,,,2,,,,,,0.8781973719596863
,,,3,,,,,,0.7337228059768677
,,,4,,,,,,0.6874953508377075
,,,5,,,,,,0.8692101240158081
,,,6,,,,,,0.9252480864524841
,,,7,,,,,,0.9289427399635315
,,,8,,,,,,0.9640600681304932
,,,9,,,,,,0.9273868203163147
,,,10,,,,,,1.0199542045593262
,,,11,,,,,,1.1075103282928467
,,,12,,,,,,1.1084098815917969
,,,13,,,,,,1.1081935167312622
0,0.4095790982246399,0.36624500155448914,27,,,,,0.9395586848258972,
0,,,27,,,0.981485903263092,,,
1,,,29,,,,0.9353507161140442,,
1,,,39,,,,0.8120468258857727,,
1,,,49,,,,0.9205868244171143,,
,,,14,,,,,,0.819426417350769
,,,15,,,,,,0.8175050020217896
,,,16,,,,,,0.6809394955635071
,,,17,,,,,,0.6050461530685425
,,,18,,,,,,0.5960806012153625
,,,19,,,,,,0.8143371343612671
,,,20,,,,,,0.8661131858825684
,,,21,,,,,,0.8997440338134766
,,,22,,,,,,0.9864140748977661
,,,23,,,,,,0.9466187953948975
,,,24,,,,,,0.9613610506057739
,,,25,,,,,,1.0488760471343994
,,,26,,,,,,1.0498192310333252
,,,27,,,,,,1.0497944355010986
1,0.8458986282348633,0.8554932475090027,55,,,,,0.8643941879272461,
1,,,55,,,0.872463047504425,,,
2,,,59,,,,0.7784106731414795,,
2,,,69,,,,0.7835655212402344,,
2,,,79,,,,0.8243911266326904,,
,,,28,,,,,,0.8551414608955383
,,,29,,,,,,0.8324565291404724
,,,30,,,,,,0.7558218836784363
,,,31,,,,,,0.6605024933815002
,,,32,,,,,,0.6028749942779541
,,,33,,,,,,0.7020360827445984
,,,34,,,,,,0.7233007550239563
,,,35,,,,,,0.7607870101928711
,,,36,,,,,,0.8444898128509521
,,,37,,,,,,0.7223643660545349
,,,38,,,,,,0.8607401251792908
,,,39,,,,,,0.9554418325424194
,,,40,,,,,,0.9565960764884949
,,,41,,,,,,0.9564195275306702
2,0.8865311145782471,0.8865311145782471,83,,,,,0.7967169880867004,
2,,,83,,,0.7871482372283936,,,
3,,,89,,,,0.741104006767273,,
3,,,99,,,,0.7603756785392761,,
3,,,109,,,,0.6632696390151978,,
,,,42,,,,,,0.8392430543899536
,,,43,,,,,,0.6892883777618408
,,,44,,,,,,0.6348399519920349
,,,45,,,,,,0.6523038744926453
,,,46,,,,,,0.6187592148780823
,,,47,,,,,,0.7013190984725952
,,,48,,,,,,0.7321680784225464
,,,49,,,,,,0.7295143604278564
,,,50,,,,,,0.8678330779075623
,,,51,,,,,,0.702969491481781
,,,52,,,,,,0.7527883052825928
,,,53,,,,,,0.7989579439163208
,,,54,,,,,,0.800025999546051
,,,55,,,,,,0.800089955329895
3,0.9029018878936768,0.9027777910232544,111,,,,,0.7361510396003723,
3,,,111,,,0.7238857746124268,,,
4,,,119,,,,0.6863095760345459,,
4,,,129,,,,0.6530457139015198,,
4,,,139,,,,0.7076129913330078,,
,,,56,,,,,,0.871972918510437
,,,57,,,,,,0.7630542516708374
,,,58,,,,,,0.6789052486419678
,,,59,,,,,,0.6431893110275269
,,,60,,,,,,0.5814765691757202
,,,61,,,,,,0.6149740815162659
,,,62,,,,,,0.6617387533187866
,,,63,,,,,,0.6391394734382629
,,,64,,,,,,0.7495056986808777
,,,65,,,,,,0.610141396522522
,,,66,,,,,,0.6206699013710022
,,,67,,,,,,0.6316252946853638
,,,68,,,,,,0.6322658061981201
,,,69,,,,,,0.6322082281112671
4,0.9389544725418091,0.9409370422363281,139,,,,,0.6670346856117249,
4,,,139,,,0.6513289213180542,,,
5,,,149,,,,0.6194208264350891,,
5,,,159,,,,0.6054883599281311,,
,,,70,,,,,,0.8468563556671143
,,,71,,,,,,0.8184646368026733
,,,72,,,,,,0.6470389366149902
,,,73,,,,,,0.630779504776001
,,,74,,,,,,0.5871922373771667
,,,75,,,,,,0.6677151918411255
,,,76,,,,,,0.6687924861907959
,,,77,,,,,,0.6810407042503357
,,,78,,,,,,0.8000702261924744
,,,79,,,,,,0.6227881908416748
,,,80,,,,,,0.6028209924697876
,,,81,,,,,,0.5754468441009521
,,,82,,,,,,0.5758041143417358
,,,83,,,,,,0.5757284760475159
5,0.9025974273681641,0.9030652642250061,167,,,,,0.6657304763793945,
5,,,167,,,0.6162654161453247,,,
6,,,169,,,,0.5879871845245361,,
6,,,179,,,,0.5820204019546509,,
6,,,189,,,,0.5654826164245605,,
,,,84,,,,,,0.7744789719581604
,,,85,,,,,,0.6987330317497253
,,,86,,,,,,0.6232374906539917
,,,87,,,,,,0.6192480325698853
,,,88,,,,,,0.5689945816993713
,,,89,,,,,,0.6499348282814026
,,,90,,,,,,0.6318637132644653
,,,91,,,,,,0.6283868551254272
,,,92,,,,,,0.7900820970535278
,,,93,,,,,,0.714560329914093
,,,94,,,,,,0.5823662281036377
,,,95,,,,,,0.5606365203857422
,,,96,,,,,,0.5608189105987549
,,,97,,,,,,0.5607977509498596
6,0.931151270866394,0.9310175776481628,195,,,,,0.6415575742721558,
6,,,195,,,0.5967064499855042,,,
7,,,199,,,,0.5614585876464844,,
7,,,209,,,,0.5731062889099121,,
7,,,219,,,,0.5998683571815491,,
,,,98,,,,,,0.7820824384689331
,,,99,,,,,,0.7107293605804443
,,,100,,,,,,0.6201165318489075
,,,101,,,,,,0.648761510848999
,,,102,,,,,,0.5748870968818665
,,,103,,,,,,0.6308702826499939
,,,104,,,,,,0.5992992520332336
,,,105,,,,,,0.6119683980941772
,,,106,,,,,,0.7799816131591797
,,,107,,,,,,0.6759324073791504
,,,108,,,,,,0.5987205505371094
,,,109,,,,,,0.5570696592330933
,,,110,,,,,,0.5572011470794678
,,,111,,,,,,0.5571717619895935
7,0.9331116080284119,0.9332104325294495,223,,,,,0.6373087763786316,
7,,,223,,,0.5907751321792603,,,
8,,,229,,,,0.5653770565986633,,
8,,,239,,,,0.7250032424926758,,
8,,,249,,,,0.5865066051483154,,
,,,112,,,,,,0.7560777068138123
,,,113,,,,,,0.7211779356002808
,,,114,,,,,,0.5734412670135498
,,,115,,,,,,0.6112188696861267
,,,116,,,,,,0.5909636616706848
,,,117,,,,,,0.637747049331665
,,,118,,,,,,0.6603391170501709
,,,119,,,,,,0.6750713586807251
,,,120,,,,,,0.787000834941864
,,,121,,,,,,0.6615716218948364
,,,122,,,,,,0.5562490224838257
,,,123,,,,,,0.5554242134094238
,,,124,,,,,,0.5555262565612793
,,,125,,,,,,0.5554976463317871
8,0.9331952929496765,0.9330244064331055,251,,,,,0.6367921233177185,
8,,,251,,,0.590248703956604,,,
9,,,259,,,,0.5541918277740479,,
9,,,269,,,,0.5820372104644775,,
9,,,279,,,,0.5610731840133667,,
,,,126,,,,,,0.7811622023582458
,,,127,,,,,,0.6542412638664246
,,,128,,,,,,0.5877980589866638
,,,129,,,,,,0.6370961666107178
,,,130,,,,,,0.5744950771331787
,,,131,,,,,,0.6489924788475037
,,,132,,,,,,0.6072689294815063
,,,133,,,,,,0.6303086876869202
,,,134,,,,,,0.8211194276809692
,,,135,,,,,,0.7600498199462891
,,,136,,,,,,0.6180182695388794
,,,137,,,,,,0.5544142723083496
,,,138,,,,,,0.5544994473457336
,,,139,,,,,,0.5544840097427368
9,0.9211534857749939,0.9212121367454529,279,,,,,0.643095076084137,
9,,,279,,,0.5874906778335571,,,
10,,,289,,,,0.5980043411254883,,
10,,,299,,,,0.5884457230567932,,
,,,140,,,,,,0.7354990243911743
,,,141,,,,,,0.6607449650764465
,,,142,,,,,,0.57167649269104
,,,143,,,,,,0.6165426969528198
,,,144,,,,,,0.5676535367965698
,,,145,,,,,,0.7525774240493774
,,,146,,,,,,0.7080247402191162
,,,147,,,,,,0.6798473000526428
,,,148,,,,,,0.8343055844306946
,,,149,,,,,,0.7600692510604858
,,,150,,,,,,0.5926942825317383
,,,151,,,,,,0.5538114905357361
,,,152,,,,,,0.553880512714386
,,,153,,,,,,0.5538703203201294
10,0.9070570468902588,0.9100137948989868,307,,,,,0.654515266418457,
10,,,307,,,0.5823509693145752,,,
11,,,309,,,,0.55428147315979,,
11,,,319,,,,0.5551813840866089,,
11,,,329,,,,0.5839508175849915,,
,,,154,,,,,,0.7890505790710449
,,,155,,,,,,0.6608221530914307
,,,156,,,,,,0.5811917185783386
,,,157,,,,,,0.6341421008110046
,,,158,,,,,,0.5715547204017639
,,,159,,,,,,0.6711276769638062
,,,160,,,,,,0.6254788637161255
,,,161,,,,,,0.6413872838020325
,,,162,,,,,,0.7896735668182373
,,,163,,,,,,0.6909677982330322
,,,164,,,,,,0.5938897132873535
,,,165,,,,,,0.5530959367752075
,,,166,,,,,,0.5531477332115173
,,,167,,,,,,0.5531359314918518
11,0.919084906578064,0.9189447164535522,335,,,,,0.6376538872718811,
11,,,335,,,0.5736359357833862,,,
12,,,339,,,,0.5536986589431763,,
12,,,349,,,,0.5738814473152161,,
12,,,359,,,,0.5915634036064148,,
,,,168,,,,,,0.7122642993927002
,,,169,,,,,,0.6456957459449768
,,,170,,,,,,0.5956073999404907
,,,171,,,,,,0.6546370983123779
,,,172,,,,,,0.5641504526138306
,,,173,,,,,,0.6534662246704102
,,,174,,,,,,0.5882071852684021
,,,175,,,,,,0.6280345916748047
,,,176,,,,,,0.7982388138771057
,,,177,,,,,,0.7017343044281006
,,,178,,,,,,0.583901584148407
,,,179,,,,,,0.5528948307037354
,,,180,,,,,,0.5529491901397705
,,,181,,,,,,0.5529346466064453
12,0.9373040795326233,0.9371930956840515,363,,,,,0.6286629438400269,
12,,,363,,,0.5696301460266113,,,
13,,,369,,,,0.5524103045463562,,
13,,,379,,,,0.640333890914917,,
13,,,389,,,,0.6298370361328125,,
,,,182,,,,,,0.7392821907997131
,,,183,,,,,,0.6775445938110352
,,,184,,,,,,0.6002193689346313
,,,185,,,,,,0.6224331855773926
,,,186,,,,,,0.5578709840774536
,,,187,,,,,,0.6790143251419067
,,,188,,,,,,0.6346254944801331
,,,189,,,,,,0.6341612935066223
,,,190,,,,,,0.8264566659927368
,,,191,,,,,,0.7380186915397644
,,,192,,,,,,0.5848769545555115
,,,193,,,,,,0.5528006553649902
,,,194,,,,,,0.5528581142425537
,,,195,,,,,,0.5528433322906494
13,0.9211766719818115,0.9214699268341064,391,,,,,0.6408758759498596,
13,,,391,,,0.5788001418113708,,,
14,,,399,,,,0.5537917613983154,,
14,,,409,,,,0.5596347451210022,,
14,,,419,,,,0.5528674125671387,,
,,,196,,,,,,0.7356833219528198
,,,197,,,,,,0.6203188300132751
,,,198,,,,,,0.6486214995384216
,,,199,,,,,,0.5828530192375183
,,,200,,,,,,0.5748052000999451
,,,201,,,,,,0.6339894533157349
,,,202,,,,,,0.643165111541748
,,,203,,,,,,0.6041942834854126
,,,204,,,,,,0.8420721292495728
,,,205,,,,,,0.7043079137802124
,,,206,,,,,,0.5655167102813721
,,,207,,,,,,0.5525424480438232
,,,208,,,,,,0.5525899529457092
,,,209,,,,,,0.5525772571563721
14,0.9312499761581421,0.9312126636505127,419,,,,,0.6307381987571716,
14,,,419,,,0.5706989169120789,,,
15,,,429,,,,0.6364817023277283,,
15,,,439,,,,0.5789754390716553,,
,,,210,,,,,,0.6624124050140381
