epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.5361832976341248,,
,,,0,,,,,,0.6860404014587402
,,,1,,,,,,0.6860661506652832
,,,2,,,,,,0.686011552810669
,,,3,,,,,,0.4429242014884949
,,,4,,,,,,0.3150625228881836
,,,5,,,,,,0.31545716524124146
,,,6,,,,,,0.3145727813243866
,,,7,,,,,,0.31452661752700806
0,0.9783106446266174,0.9809160232543945,14,,,,,0.4854380190372467,
0,,,14,,,0.5759922862052917,,,
1,,,19,,,,0.4791303873062134,,
1,,,29,,,,0.46445396542549133,,
,,,8,,,,,,0.6406735181808472
,,,9,,,,,,0.6405435800552368
,,,10,,,,,,0.6405043601989746
,,,11,,,,,,0.42741358280181885
,,,12,,,,,,0.3153015077114105
,,,13,,,,,,0.315895676612854
,,,14,,,,,,0.31489297747612
,,,15,,,,,,0.31450486183166504
1,1.0,1.0,29,,,,,0.46471133828163147,
1,,,29,,,0.5175318717956543,,,
2,,,39,,,,0.5120400190353394,,
,,,16,,,,,,0.5904656052589417
,,,17,,,,,,0.5903208255767822
,,,18,,,,,,0.590338945388794
,,,19,,,,,,0.41106072068214417
,,,20,,,,,,0.3160509467124939
,,,21,,,,,,0.31712624430656433
,,,22,,,,,,0.31595516204833984
,,,23,,,,,,0.3145779073238373
2,1.0,1.0,44,,,,,0.4422034025192261,
2,,,44,,,0.48330622911453247,,,
3,,,49,,,,0.43702131509780884,,
3,,,59,,,,0.45506471395492554,,
,,,24,,,,,,0.5256000757217407
,,,25,,,,,,0.5253975987434387
,,,26,,,,,,0.5254474878311157
,,,27,,,,,,0.3880879282951355
,,,28,,,,,,0.3154483437538147
,,,29,,,,,,0.3154778778553009
,,,30,,,,,,0.3195645213127136
,,,31,,,,,,0.31409022212028503
3,1.0,1.0,59,,,,,0.41247886419296265,
3,,,59,,,0.4484179615974426,,,
4,,,69,,,,0.4358639717102051,,
,,,32,,,,,,0.43611106276512146
,,,33,,,,,,0.4357393682003021
,,,34,,,,,,0.43575483560562134
,,,35,,,,,,0.3621152639389038
,,,36,,,,,,0.31636181473731995
,,,37,,,,,,0.31600549817085266
,,,38,,,,,,0.3176383972167969
,,,39,,,,,,0.31341299414634705
4,1.0,1.0,74,,,,,0.37189680337905884,
4,,,74,,,0.40719297528266907,,,
5,,,79,,,,0.38352587819099426,,
5,,,89,,,,0.33276504278182983,,
,,,40,,,,,,0.36509206891059875
,,,41,,,,,,0.3648075461387634
,,,42,,,,,,0.36476606130599976
,,,43,,,,,,0.33130574226379395
,,,44,,,,,,0.3134347200393677
,,,45,,,,,,0.31349989771842957
,,,46,,,,,,0.3412052392959595
,,,47,,,,,,0.31329235434532166
5,0.9956823587417603,0.9953703880310059,89,,,,,0.34090641140937805,
5,,,89,,,0.3639722466468811,,,
6,,,99,,,,0.32662233710289,,
,,,48,,,,,,0.3320809602737427
,,,49,,,,,,0.3319416344165802
,,,50,,,,,,0.3319231867790222
,,,51,,,,,,0.3198694586753845
,,,52,,,,,,0.31330594420433044
,,,53,,,,,,0.3136606216430664
,,,54,,,,,,0.3349733352661133
,,,55,,,,,,0.3132881820201874
